File                    Package
====================================================================
1stclass.po		Woll2Woll 1stClass
dbisam3.po		DBISAM ver. 3
delphi5full.po		Borland Delphi 5 including design-time texts
delphi6full.po		Borland Delphi 6 Enterprise including design-time texts
delphi7full.po		Borland Delphi 7 Data Architect including design-time texts
infopower2000.po	Woll2Woll InfoPower 2000
kylix3full.po		Borland Kylix 3 Enterprise including design-time texts
languages.po            Names of languages
rave5.po		Nevrona Rave Reporting system ver. 5, Borland Edition
