TAG_NAME;DESCRIPT;SID;ADDR;CNT;ALARM;MAXVAL;CONTACT
0109;I/C-Controller:module CM2AI-1;271;0109;8;FALSE;0;1
010A;I/C-Controller:module CM2AI-2;272;010A;8;FALSE;0;1
0112;I/C-Controller:module CM2AI-A;273;0112;8;FALSE;0;1
0113;I/C-Controller:module CM3AI-B;274;0113;8;FALSE;0;1
011C;I/C-Controller:module CM8DI-1;275;011C;8;FALSE;0;1
011D;I/C-Controller:module CM8DI-2;276;011D;8;FALSE;0;1
0120;I/C-Controller:module CM8DI-6;277;0120;8;FALSE;0;1
012A;I/C-Controller:module CM8DO-1;278;012A;8;FALSE;0;1
0130;DI69-1 OMD level alarm;279;0130;8;FALSE;0;1
0131;DI69-1 OMD device fault;280;0131;8;FALSE;0;1
0132;DI AUX alarm;281;0132;8;FALSE;0;1
0133;E020 Voltage supply;282;0133;8;FALSE;0;1
0134;E020 Voltage supply;283;0134;8;FALSE;0;1
0135;ECS cabinet earth leakage monitor;284;0135;8;FALSE;0;1
0136;E300.2 Acutual power;285;0136;8;FALSE;0;1
0137;E300.4 Deviation power control;286;0137;8;FALSE;0;1
0138;G560.2 Control deviation throttle valve A;287;0138;8;FALSE;0;1
0139;G560.2 Control deviation throttle valve A;288;0139;8;FALSE;0;1
013A;G561.2 Control deviation throttle valve B;289;013A;8;FALSE;0;1
013B;G561.2 Control deviation throttle valve B;290;013B;8;FALSE;0;1
013C;Knock control adjustment A1;291;013C;8;FALSE;0;1
013D;Knock control adjustment A2;292;013D;8;FALSE;0;1
013E;Knock control adjustment A3;293;013E;8;FALSE;0;1
013F;Knock control adjustment A4;294;013F;8;FALSE;0;1
0140;Knock control adjustment A5;295;0140;8;FALSE;0;1
0141;Knock control adjustment A6;296;0141;8;FALSE;0;1
0142;Knock control adjustment A7;297;0142;8;FALSE;0;1
0143;Knock control adjustment A8;298;0143;8;FALSE;0;1
0146;Knock control adjustment B1;299;0146;8;FALSE;0;1
0147;Knock control adjustment B2;300;0147;8;FALSE;0;1
0148;Knock control adjustment B3;301;0148;8;FALSE;0;1
0149;Knock control adjustment B4;302;0149;8;FALSE;0;1
014A;Knock control adjustment B5;303;014A;8;FALSE;0;1
014B;Knock control adjustment B6;304;014B;8;FALSE;0;1
014C;Knock control adjustment B7;305;014C;8;FALSE;0;1
014D;Knock control adjustment B8;306;014D;8;FALSE;0;1
0150;PT61 Lube oil filter inlet;307;0150;8;FALSE;0;1
