TAG_NAME;DESCRIPT;SID;ADDR;CNT;ALARM;MAXVAL;CONTACT
00C8;UI90 Load signal;100;00C8;1;TRUE4;0.1;1
00C9;E300.1 Actual power;101;00C9;1;TRUE4;0.1;1
00CA;E300.2 Actual power;102;00CA;1;TRUE4;0.1;1
00CB;E300.3 Set power;103;00CB;1;TRUE4;0.1;1
00CC;E300.4 Deviation power control;104;00CC;1;TRUE4;0.1;1
00CD;E300.5 Power limit;105;00CD;1;TRUE4;0.1;1
00CE;E300.6 Power limit max.;106;00CE;1;TRUE4;0.1;1
00CF;E300.8 Actual power in Kw;107;00CF;1;TRUE4;1;1
00D0;dummy;108;00D0;1;TRUE4;1;1
00D1;dummy;109;00D1;1;TRUE4;1;1
00D2;E802 Analogous demand;110;00D2;1;TRUE4;0.1;1
00D3;E803 Demand active;111;00D3;1;TRUE4;0.1;1
00D4;Configurable measured value 01;112;00D4;1;TRUE4;1;1
00D5;Configurable measured value 02;113;00D5;1;TRUE4;1;1
00D6;Configurable measured value 03;114;00D6;1;TRUE4;1;1
00D7;Configurable measured value 04;115;00D7;1;TRUE4;1;1
00D8;dummy;116;00D8;1;TRUE4;1;1
00D9;dummy;117;00D9;1;TRUE4;1;1
00DA;dummy;118;00DA;1;TRUE4;1;1
00DB;dummy;119;00DB;1;TRUE4;1;1
00DC;dummy;120;00DC;1;TRUE4;1;1
00DD;FT50 Gas flow;121;00DD;1;TRUE4;0.1;1
00DE;ZT23-A throttle valve position;122;00DE;1;TRUE4;0.1;1
00DF;ZT23-A throttle valve set value;123;00DF;1;TRUE4;0.1;1
00E0;dummy;116;00E0;1;TRUE4;1;1
00E1;G560.2 Control deviation throttle valve A;124;00E1;1;TRUE4;0.1;1
00E2;ZT23-B throttle valve position;125;00E2;1;TRUE4;0.1;1
00E3;ZT23-B throttle valve set value;126;00E3;1;TRUE4;0.1;1
00E4;G561.2 Control deviation throttle valve B;127;00E4;1;TRUE4;0.1;1
00E5;dummy;128;00E5;1;TRUE4;1;1
00E6;ZT26 waste gate position;129;00E6;1;TRUE4;0.1;1
00E7;ZT26 waste gate set value;130;00E7;1;TRUE4;0.1;1
00E8;ECM3 Basic duration;131;00E8;1;TRUE4;0.1;1
00E9;ECM3 Basic timing (BTDC);132;00E9;1;TRUE4;0.1;1
00EA;PT61 Lube oil filter inlet;133;00EA;1;TRUE4;0.01;1
00EB;P380.1 Differential pressure lube oil;134;00EB;1;TRUE4;0.01;1
00EC;PT62 Lube oil filter outlet;135;00EC;1;TRUE4;0.01;1
00ED;PT63-A Lube orl inlet T/C;136;00ED;1;TRUE4;0.01;1
00EE;PT63-B Lube oil inlet T/C;137;00EE;1;TRUE4;0.01;1
00EF;PT75 Jacket water inlet;138;00EF;1;TRUE4;0.01;1
00F0;PT71 Intercooler inlet;139;00F0;1;TRUE4;0.01;1
00F1;PT57-A Gas main pipe;140;00F1;1;TRUE4;0.01;1
00F2;PT57-B Gas main pipe;141;00F2;1;TRUE4;0.01;1
00F3;PT51 Gas supply;142;00F3;1;TRUE4;0.01;1
00F4;PT52 Gas rail (MC);143;00F4;1;TRUE4;0.01;1
00F5;PT53 Gas rail (PC);144;00F5;1;TRUE4;0.01;1
00F6;PT56 Gas rail control air;145;00F6;1;TRUE4;0.01;1
00F7;IP52 Gas pressure set value (MC);146;00F7;1;TRUE4;0.01;1
00F8;IP53 Gas pressure set value (PC);147;00F8;1;TRUE4;0.01;1
00F9;PT24 Boost;148;00F9;1;TRUE4;0.01;1
00FA;dummy;149;00FA;1;TRUE4;1;1
00FB;P551 Boost B;150;00FB;1;TRUE4;0.01;1
00FC;dummy;151;00FC;1;TRUE4;1;1
00FD;P553 Boost (standard.);152;00FD;1;TRUE4;0.01;1
00FE;P553.1 Boost set value(standard.);153;00FE;1;TRUE4;0.01;1
00FF;P553.2 Boost sontrol deviation(standard.);154;00FF;1;TRUE4;0.01;1
0100;PT27 Throttle valve control air;155;0100;1;TRUE4;0.01;1
0101;PT22-A Charge-air;156;0101;1;TRUE4;0.01;1
0102;PT22-B Charge-air;157;0102;1;TRUE4;0.01;1
0103;P579.1 Charge air A nominal;158;0103;1;TRUE4;0.01;1
0104;P579.2 Charge air B nominal;159;0104;1;TRUE4;0.01;1
0105;PT41 Starter compressed air;160;0105;1;TRUE4;0.01;1
0106;S340 Engine speed;161;0106;1;TRUE4;0.1;1
0107;S340.4 Set speed active;162;0107;1;TRUE4;0.1;1
0108;S340.9 Engine set speed;163;0108;1;TRUE4;0.1;1
0109;SE42-A1 T/C speed;164;0109;1;TRUE4;1;1
010A;SE42-B1 T/C speed;165;010A;1;TRUE4;1;1
010B;TE25-1 Cylinder exhaust A1;166;010B;2;TRUE4;1;1
010C;T Exhuast A mean value;167;010C;2;TRUE4;1;1
010D;T Exhuast A misfire limit;168;010D;2;TRUE4;1;1
010E;TE25-2 Cylinder exhaust A2;169;010E;2;TRUE4;1;1
010F;TE25-3 Cylinder exhaust A3;170;010F;2;TRUE4;1;1
0110;TE25-4 Cylinder exhaust A4;171;0110;2;TRUE4;1;1
0111;TE25-5 Cylinder exhaust A5;172;0111;2;TRUE4;1;1
