TAG_NAME;DESCRIPT;SID;ADDR;CNT;ALARM;MAXVAL;CONTACT
AI_EXH_A_TCINLET_A;Exh. gas temp. A  inlet A TC;0;0;1;True;0;0
AI_EXH_A_1;Exh. gas temp. A  cylinder 1;1;1;1;True;0;0
AI_EXH_A_2;Exh. gas temp. A  cylinder 2;2;2;1;True;0;0
AI_EXH_A_3;Exh. gas temp. A  cylinder 3;3;3;1;True;0;0
AI_EXH_A_4;Exh. gas temp. A  cylinder 4;4;4;1;True;0;0
AI_EXH_A_5;Exh. gas temp. A  cylinder 5;5;5;1;True;0;0
AI_EXH_A_6;Exh. gas temp. A  cylinder 6;6;6;1;True;0;0
AI_EXH_A_7;Exh. gas temp. A  cylinder 7;7;7;1;True;0;0
AI_EXH_A_8;Exh. gas temp. A  cylinder 8;8;8;1;True;0;0
AI_EXH_A_9;Exh. gas temp. A  cylinder 9;9;9;1;True;0;0
AI_EXH_A_10;Exh. gas temp. A  cylinder 10;10;10;1;True;0;0
AI_EXH_A_TCOUTLET;Exh. gas temp. A  outlet TC;11;11;1;True;0;0
dummy;dummy;12;12;1;True;0;0
dummy;dummy;13;13;1;True;0;0
dummy;dummy;14;14;1;True;0;0
dummy;dummy;15;15;1;True;0;0
AI_EXH_B_TCINLET_A;Exh. gas temp. B  inlet A TC;16;16;1;True;0;0
AI_EXH_B_1;Exh. gas temp. B  cylinder 1;17;17;1;True;0;0
AI_EXH_B_2;Exh. gas temp. B  cylinder 2;18;18;1;True;0;0
AI_EXH_B_3;Exh. gas temp. B  cylinder 3;19;19;1;True;0;0
AI_EXH_B_4;Exh. gas temp. B  cylinder 4;20;20;1;True;0;0
AI_EXH_B_5;Exh. gas temp. B  cylinder 5;21;21;1;True;0;0
AI_EXH_B_6;Exh. gas temp. B  cylinder 6;22;22;1;True;0;0
AI_EXH_B_7;Exh. gas temp. B  cylinder 7;23;23;1;True;0;0
AI_EXH_B_8;Exh. gas temp. B  cylinder 8;24;24;1;True;0;0
