10,864,2.0 ,0.890 ,769 
15,1296,3.0 ,0.920 ,1192 
20,1728,4.0 ,0.935 ,1616 
25,2160,5.0 ,0.959 ,2071 
30,2592,6.0 ,0.962 ,2494 
35,3024,7.0 ,0.965 ,2918 
40,3456,8.0 ,0.969 ,3349 
45,3888,9.0 ,0.972 ,3779 
50,4320,10.0 ,0.975 ,4212 
55,4752,11.0 ,0.975 ,4633 
60,5184,12.0 ,0.976 ,5060 
65,5616,13.0 ,0.976 ,5481 
70,6048,14.0 ,0.977 ,5909 
75,6480,15.0 ,0.978 ,6337 
80,6912,16.0 ,0.978 ,6760 
85,7344,17.0 ,0.978 ,7182 
90,7776,18.0 ,0.978 ,7605 
95,8208,18.0 ,0.978 ,8027 
100,8640,20.0 ,0.978 ,8450 
105,9072,21.0 ,0.978 ,8872 
110,9504,22.0 ,0.978 ,9295 
