TAG_NAME,DESCRIPT,SID,ADDR,CNT,ALARM,MAXVAL,CONTACT
Common shutdown,Common shutdown,200,0000,1,FALSE,0,1
Lub. oil inlet low pressure stop,Lub. oil inlet low pressure stop,201,0001,1,FALSE,0,1
HT water outlet high temp. stop,HT water outlet high temp. stop,202,0002,1,FALSE,0,1
Emergency shutdown,Emergency shutdown,203,0003,1,FALSE,0,1
Overspeed trip(Control only),Overspeed trip(Control only),204,0004,1,FALSE,0,1
Overspeed trip(Safety only),Overspeed trip(Safety only),205,0005,1,FALSE,0,1
Both Tacho failure trip.,Both Tacho failure trip.,206,0006,1,FALSE,0,1
Main & Thrust bearing high temp. stop,Main & Thrust bearing high temp. stop,207,0007,1,FALSE,0,1
Oil mist high stop(option),Oil mist high stop(option),208,0008,1,FALSE,0,1
Shutdown from safety system,Shutdown from safety system,209,0009,1,FALSE,0,1
Trip circuit failure,Trip circuit failure,210,000A,1,FALSE,0,1
Start failure,Start failure,211,000B,1,FALSE,0,1
Stop failure,Stop failure,212,000C,1,FALSE,0,1
Local indication,Local indication,213,000D,1,FALSE,0,1
Remote indication,Remote indication,214,000E,1,FALSE,0,1
Microswitch turning gear engaged,Microswitch turning gear engaged,215,000F,1,FALSE,0,1
Engine running,Engine running,216,0010,1,FALSE,0,1
F.O Drain box high level,F.O Drain box high level,217,0011,1,FALSE,0,1
Prelub. oil low press,Prelub. oil low press,218,0012,1,FALSE,0,1
Jet system failure(IMOTier-II),Jet system failure(IMOTier-II),219,0013,1,FALSE,0,1
Safety system or OMD failure,Safety system or OMD failure,220,0014,1,FALSE,0,1
Lub oil sump tank low level,Lub oil sump tank low level,221,0015,1,FALSE,0,1
Lub oil sump tank high level,Lub oil sump tank high level,222,0016,1,FALSE,0,1
Monitoring system failure,Monitoring system failure,223,0017,1,FALSE,0,1
Monitoring sensor failure,Monitoring sensor failure,224,0018,1,FALSE,0,1
High oil mist alarm,High oil mist alarm,225,0019,1,FALSE,0,1
Gov. fault(UG25),Gov. fault(UG25),226,001A,1,FALSE,0,1
Tacho failure,Tacho failure,227,001B,1,FALSE,0,1
Common abnormal alarm,Common abnormal alarm,228,001C,1,FALSE,0,1
Fuel oil temp. High,Fuel oil temp. High,229,001D,1,FALSE,0,1
HT water A Inlet press. low,HT water A Inlet press. low,230,001E,1,FALSE,0,1
Starting air press. inlet low,Starting air press. inlet low,231,001F,1,FALSE,0,1
Diff. press high for L.O filter,Diff. press high for L.O filter,232,0020,1,FALSE,0,1
Lub. oil press. Filter outlet low,Lub. oil press. Filter outlet low,233,0021,1,FALSE,0,1
Fuel press. Outlet low,Fuel press. Outlet low,234,0022,1,FALSE,0,1
HT water temp. high,HT water temp. high,235,0023,1,FALSE,0,1
Lub. oil temp. Filter outlet high,Lub. oil temp. Filter outlet high,236,0024,1,FALSE,0,1
Exh. gas temp. A high or low,Exh. gas temp. A high or low,237,0025,1,FALSE,0,1
TC temp. A outlet high,TC temp. A outlet high,238,0026,1,FALSE,0,1
High exh. gas temp. A cyl. 10,High exh. gas temp. A cyl. 10,239,0027,1,FALSE,0,1
Diff. press high for F.O filter,Diff. press high for F.O filter,240,0028,1,FALSE,0,1
LT water temp. air cooler inlet high,LT water temp. air cooler inlet high,241,0029,1,FALSE,0,1
LT water press. Inlet low,LT water press. Inlet low,242,002A,1,FALSE,0,1
Lub. Oil press. TC A low,Lub. Oil press. TC A low,243,002B,1,FALSE,0,1
High TC rpm,High TC rpm,244,002C,1,FALSE,0,1
TC temp. A inlet A high,TC temp. A inlet A high,245,002D,1,FALSE,0,1
High cooling water temp.,High cooling water temp.,246,002E,1,FALSE,0,1
High exh. gas temp. A cyl.1,High exh. gas temp. A cyl.1,247,002F,2,FALSE,0,1
High exh. gas temp. A cyl.2,High exh. gas temp. A cyl.2,248,0030,2,FALSE,0,1
High exh. gas temp. A cyl.3,High exh. gas temp. A cyl.3,249,0031,2,FALSE,0,1
High exh. gas temp. A cyl.4,High exh. gas temp. A cyl.4,250,0032,2,FALSE,0,1
High exh. gas temp. A cyl.5,High exh. gas temp. A cyl.5,251,0033,2,FALSE,0,1
