TAG_NAME;DESCRIPT;SID;ADDR;CNT;ALARM;MAXVAL;CONTACT
AI_ENGINERPM;Engine RPM pickup;100;4200;1;TRUE;1200;1
AI_TC_A_RPM;TC A  RPM pickup;101;4201;1;TRUE;60000;1
AI_TC_B_RPM;TC B  RPM pickup;102;4202;1;TRUE;60000;1
AI_HTTEMPINLET;HT water temp. Inlet A.;103;4203;1;TRUE;200;1
AI_LOTEMPINLET;Lub. oil temp. Filter outlet;104;4204;1;TRUE;200;1
AI_FOTEMPINLET;Fuel oil temp. Filter Outlet;105;4205;1;TRUE;200;1
AI_HTTEMPOUTLET;HT water temp. outlet;106;4206;1;TRUE;150;1
AI_LTTEMPOUTLET;LT water temp. cooler outlet;107;4207;1;TRUE;200;1
AI_LTTEMPINLET;LT water temp. cooler inlet;108;4208;1;TRUE;200;1
AI_CATEMP;Air cooler outlet temp.;109;4209;1;TRUE;200;1
AI_LOTC_A_TEMP;Lub. Oil TC A inlet temp.;110;420A;1;TRUE;200;1
AI_HTPRESSINLET_A;HT water press. Inlet A.;111;420B;1;TRUE;6;1
AI_LOFILTERPRESSOUTLET;Lub. oil press. Filter outlet;112;420C;1;TRUE;10;1
AI_FOFILTEROUTLETPRESS;Fuel oil press. Filter outlet;113;420D;1;TRUE;16;1
AI_STARTINGAIRPRESS;Starting air press. engine Inlet;114;420E;1;TRUE;40;1
AI_LTPRESSINLET;LT water press. inlet;115;420F;1;TRUE;6;1
AI_LOFILTERPRESSINLET;Lub. oil press. filter inlet;116;4210;1;TRUE;10;1
AI_LOTC_A_PRESS;Lub. oil TC A inlet press.;117;4211;1;TRUE;6;1
AI_CAPRESS;Air cooler outlet press.;118;4212;1;TRUE;6;1
AI_FOFILTERINLETPRESS;Fuel oil press. Filter inlet;119;4213;1;TRUE;16;1
AI_SLOWTURNAIRPRESS;Slow turning control air press.;120;4214;1;TRUE;40;1
AI_FOCOOLPRESS;F.O valve coolant oil press.;121;4215;1;TRUE;10;1
AI_NCOPRESS;L.O Fuel valve coolant press.;122;4216;1;TRUE;6;1
AI_TC_B_LOPRESS;Lub oil TC B inlet press.;123;4217;1;TRUE;6;1
AI_LOTC_B_TEMP;Lub. Oil TC B inlet temp.;124;4218;1;TRUE;200;1
AI_HTPRESSINLET_B;HT water press. Inlet B.;125;4219;1;TRUE;6;1
AI_HTTEMPINLET_B;HT water temp. Inlet B.;126;421A;1;TRUE;200;1
AI_EXH_A_1;Exh. gas temp. A  cylinder 1;127;421B;3;TRUE;800;1
AI_EXH_A_2;Exh. gas temp. A  cylinder 2;128;421C;3;TRUE;800;1
AI_EXH_A_3;Exh. gas temp. A  cylinder 3;129;421D;3;TRUE;800;1
