TAG_NAME;DESCRIPT;SID;ADDR;CNT;ALARM;MAXVAL;CONTACT
SERIAL_NUM_;Serial number Upper;100;4012;1;TRUE;1;2
SERIAL_NUM;Serial number Lower;100;4013;1;TRUE;1;2
SOFTWARE;Software;101;4020;2;TRUE;1;1
HARDWARE;Hareware;102;410A;2;TRUE;1;1
CONSUMPTIONQ_;Consumption Q Upper;200;4000;3;TRUE;6;2
CONSUMPTIONQ;Consumption Q Lower;201;4001;3;TRUE;6;2
TOTALT1_;Total T1 Upper;202;4002;4;TRUE;6;2
TOTALT1;Total T1 Lower;203;4003;4;TRUE;6;2
TOTALT2_;Total T2 Upper;204;4004;5;TRUE;6;2
TOTALT2;Total T2 Lower;205;4005;5;TRUE;6;2
VOL_A_QA_;Volumeter A QA Upper;206;4006;6;TRUE;6;2
VOL_A_QA;Volumeter A QA Lower;207;4007;6;TRUE;6;2
VOL_A_T_;Volumeter A T Upper;208;4008;7;TRUE;6;2
VOL_A_T;Volumeter A T Lower;209;4009;7;TRUE;6;2
VOL_A_TOT_TA1_;Volumeter A Total TA1 Upper;210;4100;8;TRUE;6;2
VOL_A_TOT_TA1;Volumeter A Total TA1 Lower;211;4101;8;TRUE;6;2
VOL_A_TOT_TA2_;Volumeter A Total TA2 Upper;212;4102;9;TRUE;6;2
VOL_A_TOT_TA2;Volumeter A Total TA2 Lower;213;4103;9;TRUE;6;2
VOL_B_TOT_TB1_;Volumeter B Total TB1 Upper;214;4104;10;TRUE;6;2
VOL_B_TOT_TB1;Volumeter B Total TB1 Lower;215;4105;10;TRUE;6;2
VOL_B_TOT_TB2_;Volumeter B Total TB2 Upper;216;4106;11;TRUE;6;2
VOL_B_TOT_TB2;Volumeter B Total TB2 Lower;217;4107;11;TRUE;6;2
VOL_B_QB_;Volumeter B QB Upper;218;400C;12;TRUE;6;2
VOL_B_QB;Volumeter B QB Lower;219;400D;12;TRUE;6;2
VOL_B_T_;Volumeter B T Upper;220;400E;13;TRUE;6;2
VOL_B_T;Volumeter B T Lower;221;400F;13;TRUE;6;2
