Save_DateTime,oLAH54,oPAL65,oSX22,oUX95,oSS86,oTAH98,oPAL75,oPAL41,oPDAH61_62,oPAL62,oPAL51,oTAH76,oTAH62,oLAL68,oLAH68,iZS46,oSAH81,oTDAH25,oTAH27,oTAH26,iTI76,iTI62,iTI51,iTI98_1,iTI98_2,iTI98_3,iPI75,iPI62,iPI51,iPI41,oSX86,oSX40,iPSL62,iTSH76,iZS49,iSSH81,oZS96,oZS97,iLSH92,oSS47A,iTE25_1,iTE25_2,iTE25_3,iTE25_4,iTE25_5,iTE25_6,iTE25_7,iTE25_8,iTE25_9,iTE27,iTE26_1,iTE26_2,iTE26_3,iTE26_4,iTI71,iTI21,iPI71,iPI61,iPI63,iPI21,oSE47,oSE42,iUX95,oSX84,iSS86_3,oPAL71,oPAL63,iLAH92,iAUX,iSX47_2,iSX47_1,oTSH69_67,oTSH69_67A,iTI69_1,iTI69_2,iTI69_3,iTI69_4,iTI69_5,iTI69_6,iTI69_7,iTI69_8,iTI69_9,iTI69_10,iTI69_11,iTI67_1,oTAH67_1,oTAH67_2,oTAH98_1,oTAH98_2,EngStop,StopSolvv,PreLugStart,StartSolvv,FuelLimitSolvv,EmergencySolvv,ReadyToStart,oTah71
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
2003-11-18 8:56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,72,104,92,95,97,1.81,4.03,5.78,7.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,426,430,436,436,462,420,0,0,0,388,542,538,0,0,41,48,2.47,5.94,3.52,2.47,900,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,48,48,48,0,0,0,49,54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 8:57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,72,103,92,95,97,1.89,3.87,6.74,7.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,427,430,436,435,462,418,0,0,0,388,540,537,0,0,41,48,2.46,5.95,3.51,2.5,900,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,48,48,48,0,0,0,49,54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 8:58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,72,104,92,95,97,1.83,4.04,6.65,7.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,429,433,439,438,465,415,0,0,0,390,544,538,0,0,41,48,2.49,5.94,3.53,2.5,900,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,48,0,0,0,49,54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 8:59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,72,104,92,95,97,1.84,4.02,6.46,7.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,430,434,440,439,466,419,0,0,0,392,546,540,0,0,41,48,2.46,5.95,3.56,2.49,900,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,48,48,48,0,0,0,49,54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,72,104,92,95,97,1.87,4.03,9.73,7.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,428,433,439,438,465,418,0,0,0,390,543,538,0,0,41,48,2.43,5.94,3.55,2.45,900,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,71,104,93,96,98,1.83,4.03,6.27,7.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,429,434,438,437,465,418,0,0,0,391,544,539,0,0,41,48,2.47,5.95,3.5,2.46,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,72,104,93,96,98,1.81,4.04,6.86,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,430,433,438,437,465,419,0,0,0,391,543,539,0,0,41,48,2.53,5.95,3.61,2.48,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,71,104,93,96,98,1.85,4.03,9.61,7.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,430,434,438,438,464,418,0,0,0,390,544,539,0,0,41,48,2.5,5.69,3.53,2.51,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,72,104,93,96,98,1.77,4.03,5.88,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,428,433,438,435,464,417,0,0,0,390,542,538,0,0,41,48,2.53,5.95,3.6,2.49,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
